number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
34,,2023-09-12 23:35:04.463709,2023-09-12 23:35:05.009865,0 days 00:00:00.546156,0.5,3.6536878088324403,3,61,3.9369547606769304,7.317761878177487,0.8,FAIL
35,,2023-09-12 23:35:05.011867,2023-09-12 23:35:05.523386,0 days 00:00:00.511519,0.7,8.353005021493615,4,25,9.951562085743493,9.014417192890022,1.0,FAIL
36,,2023-09-12 23:35:05.524386,2023-09-12 23:35:06.016589,0 days 00:00:00.492203,0.5,3.462677278976132,4,17,2.6169106011094874,2.8061342633666935,1.0,FAIL
37,,2023-09-12 23:35:06.018094,2023-09-12 23:35:06.695473,0 days 00:00:00.677379,0.7,7.57890445504008,6,79,8.536840498507164,9.974788664548736,0.6,FAIL
38,,2023-09-12 23:35:06.697979,2023-09-12 23:35:07.292147,0 days 00:00:00.594168,0.7,2.2288824206425795,6,69,7.786351475301954,3.709453447878441,0.8,FAIL
39,,2023-09-12 23:35:07.293147,2023-09-12 23:35:07.938896,0 days 00:00:00.645749,1.0,2.0033677539843993,6,76,6.311078940419429,6.6148521242408025,1.0,FAIL
40,,2023-09-12 23:35:07.940897,2023-09-12 23:35:08.497569,0 days 00:00:00.556672,0.5,8.400076550276967,4,35,9.172099769719694,1.4618372405910698,0.6,FAIL
41,,2023-09-12 23:35:08.498584,2023-09-12 23:35:09.091775,0 days 00:00:00.593191,1.0,7.989682602762506,6,90,3.681812125152576,5.014173032598829,1.0,FAIL
42,,2023-09-12 23:35:09.093775,2023-09-12 23:35:09.591308,0 days 00:00:00.497533,1.0,3.8797992331887516,6,27,7.862305469763473,5.080856284865447,1.0,FAIL
43,,2023-09-12 23:35:09.592308,2023-09-12 23:35:10.147482,0 days 00:00:00.555174,0.7,2.143940910621952,6,56,6.887248908294256,4.919171207883034,0.8,FAIL
44,,2023-09-12 23:35:10.149079,2023-09-12 23:35:10.785252,0 days 00:00:00.636173,0.9,5.0720710723936495,6,81,9.489557514106583,5.3469624556864845,0.7,FAIL
45,,2023-09-12 23:35:10.786252,2023-09-12 23:35:11.442598,0 days 00:00:00.656346,0.7,1.599512841241147,5,79,4.625830852515449,8.45503753255793,0.6,FAIL
46,,2023-09-12 23:35:11.443599,2023-09-12 23:35:12.042802,0 days 00:00:00.599203,0.9,8.43088088267964,6,9,3.973711741885274,6.891004806794301,0.6,FAIL
47,,2023-09-12 23:35:12.044802,2023-09-12 23:35:12.555447,0 days 00:00:00.510645,0.7,9.94039120774445,4,81,5.260496209583256,1.189685231379944,0.8,FAIL
48,,2023-09-12 23:35:12.557447,2023-09-12 23:35:13.028804,0 days 00:00:00.471357,0.5,2.309594307396428,5,33,6.993966089154478,6.1685720500912105,0.7,FAIL
49,,2023-09-12 23:35:13.030806,2023-09-12 23:35:13.683603,0 days 00:00:00.652797,0.9,8.12223821664196,5,84,9.360563709480651,4.178807357635551,0.6,FAIL
50,,2023-09-12 23:35:13.685603,2023-09-12 23:35:14.264462,0 days 00:00:00.578859,0.9,3.761968429258667,3,71,1.977923470241301,4.90034413405842,0.7,FAIL
51,,2023-09-12 23:35:14.266462,2023-09-12 23:35:14.807345,0 days 00:00:00.540883,0.5,5.204619394991439,4,54,8.462968907120175,8.203548322895639,1.0,FAIL
52,,2023-09-12 23:35:14.808852,2023-09-12 23:35:15.412587,0 days 00:00:00.603735,0.9,1.5157178857332736,3,72,2.7778969558861277,1.6998629531268428,0.6,FAIL
53,,2023-09-12 23:35:15.414587,2023-09-12 23:35:16.107927,0 days 00:00:00.693340,0.9,3.1810252249797735,6,63,5.534462660982063,5.596689404260701,0.7,FAIL
54,,2023-09-12 23:35:16.109929,2023-09-12 23:35:16.523686,0 days 00:00:00.413757,0.9,7.39046922347919,5,73,3.3707843345951027,5.238379362680195,0.8,FAIL
55,,2023-09-12 23:35:16.524686,2023-09-12 23:35:17.218847,0 days 00:00:00.694161,0.5,8.277431091768115,4,87,3.225328301932312,9.816003615058536,0.8,FAIL
56,,2023-09-12 23:35:17.220848,2023-09-12 23:35:17.820913,0 days 00:00:00.600065,1.0,4.787057019076709,4,72,1.6343297623061095,8.812854602562822,1.0,FAIL
57,,2023-09-12 23:35:17.822914,2023-09-12 23:35:18.389220,0 days 00:00:00.566306,0.7,1.3264160097775388,4,17,5.806742196566156,9.3970424799646,0.6,FAIL
58,,2023-09-12 23:35:18.391222,2023-09-12 23:35:19.148376,0 days 00:00:00.757154,0.9,3.385762792727805,6,84,6.545941059137361,9.063540008990337,0.7,FAIL
59,,2023-09-12 23:35:19.150378,2023-09-12 23:35:19.609738,0 days 00:00:00.459360,0.9,4.24994215072905,4,96,7.653228191526999,2.7878194524752073,1.0,FAIL
60,,2023-09-12 23:35:19.611739,2023-09-12 23:35:20.320626,0 days 00:00:00.708887,0.7,1.1811282443974673,5,44,5.761331251869987,4.305409469293262,0.7,FAIL
61,,2023-09-12 23:35:20.321626,2023-09-12 23:35:20.821189,0 days 00:00:00.499563,1.0,1.6936374619110228,4,22,3.8347671168373614,5.894014167004024,0.8,FAIL
62,,2023-09-12 23:35:20.822189,2023-09-12 23:35:21.437657,0 days 00:00:00.615468,0.7,6.598655246070202,3,80,4.549193842829192,2.864180070100392,1.0,FAIL
63,,2023-09-12 23:35:21.439163,2023-09-12 23:35:22.190382,0 days 00:00:00.751219,1.0,5.250846817768954,6,85,9.491703173324888,1.2755979556354822,0.6,FAIL
64,,2023-09-12 23:35:22.191382,2023-09-12 23:35:22.853011,0 days 00:00:00.661629,0.7,3.3389979406211,6,81,5.804288994901925,3.7959909465883905,1.0,FAIL
65,,2023-09-12 23:35:22.855010,2023-09-12 23:35:23.391783,0 days 00:00:00.536773,0.9,9.282157854856925,5,75,5.192270747335898,2.7302670950852206,1.0,FAIL
66,,2023-09-12 23:35:23.393782,2023-09-12 23:35:23.999740,0 days 00:00:00.605958,0.5,8.79912344442576,6,47,5.7047010542404095,3.3374667687883273,0.7,FAIL
67,,2023-09-12 23:35:24.001741,2023-09-12 23:35:24.641458,0 days 00:00:00.639717,0.9,4.389804167671041,3,51,3.0885727345897602,6.110316802102758,0.6,FAIL
68,,2023-09-12 23:35:24.643457,2023-09-12 23:35:25.035609,0 days 00:00:00.392152,0.5,9.730333080595056,3,45,7.509096376864875,7.513034337280402,1.0,FAIL
69,,2023-09-12 23:35:25.037609,2023-09-12 23:35:25.765665,0 days 00:00:00.728056,1.0,9.793791131618358,5,57,3.1643539669039638,3.9749082561352873,0.6,FAIL
70,,2023-09-12 23:35:25.768169,2023-09-12 23:35:26.387696,0 days 00:00:00.619527,0.7,3.171580861115115,6,50,7.45088479777181,1.4350879089370938,0.7,FAIL
71,,2023-09-12 23:35:26.389707,2023-09-12 23:35:27.150161,0 days 00:00:00.760454,0.9,3.8077443490742136,5,47,6.678345545482568,8.879222985365253,0.6,FAIL
72,,2023-09-12 23:35:27.151161,2023-09-12 23:35:27.844750,0 days 00:00:00.693589,1.0,8.733521187621449,5,86,9.486688257607701,9.551844603657484,0.6,FAIL
73,,2023-09-12 23:35:27.846750,2023-09-12 23:35:28.399671,0 days 00:00:00.552921,0.9,9.288840722997222,5,32,4.617463457049178,6.431435880026663,0.8,FAIL
74,,2023-09-12 23:35:28.401672,2023-09-12 23:35:29.091559,0 days 00:00:00.689887,1.0,7.809425863042056,4,53,6.179697080020523,7.900830259443067,0.7,FAIL
75,,2023-09-12 23:35:29.093558,2023-09-12 23:35:29.742768,0 days 00:00:00.649210,0.5,1.5889450813169546,6,5,7.651776146598181,8.327186093820227,0.6,FAIL
